NMS: 1235321
CMTS: pl-gdn04a-br03
Interfejsy: C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/3, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7, C8/0/0, C8/0/1, C8/0/2, C8/0/3, C8/0/4, C8/0/5, C8/0/6, C8/0/7, C9/0/0, C9/0/1, C9/0/2, C9/0/3, C9/0/4, C9/0/5, C9/0/6, C9/0/7
Data: 23.04.2026, 16:10:43

MAC               IP               Interfejs        Status  dBmV
--------------------------------------------------------------------------------
2ca1.7d80.f91b    10.233.13.45     C1/0/0/UB        1       1.00
44aa.f50c.6a80    10.233.25.81     C1/0/0/UB        1       0.50
e882.5b86.fb22    10.233.21.153    C1/0/0/UB        1       0.00
2ca1.7d86.19a3    10.155.203.245   C1/0/0/UB        1       0.50
a0c5.6276.f23c    10.233.10.173    C1/0/0/UB        1       -0.50
80f5.03a6.526f    10.233.2.240     C1/0/0/UB        1       -0.50
446a.b7fb.4284    10.233.14.35     C1/0/0/UB        1       -0.50
a0c5.6277.5c04    10.155.216.223   C1/0/0/UB        1       1.00
a0c5.626e.7bac    10.233.19.183    C1/0/0/UB        1       -0.50
0895.2adb.dbef    10.155.207.81    C1/0/0/UB        1       1.00
2ca1.7d92.d25b    10.233.27.69     C1/0/0/UB        1       1.00
2ca1.7d77.7c4b    10.233.30.86     C1/0/0/UB        1       -0.50
2c1d.b8d5.3201    10.233.4.201     C1/0/0/UB        1       0.00
44aa.f5d0.8097    10.233.10.192    C1/0/0/UB        1       0.50
2ca1.7d86.5683    10.233.4.197     C1/0/0/UB        1       -1.00
2c1d.b8a6.599e    10.233.17.94     C1/0/0/UB        1       0.00
4432.c81f.eb34    10.155.204.242   C1/0/0/UB        1       -0.50
2ca1.7d07.218c    10.233.17.215    C1/0/0/UB        1       -0.50
cc35.40e3.7b91    10.233.20.235    C1/0/0/UB        1       0.50
2ca1.7d98.3c3b    10.155.209.115   C1/0/0/UB        1       -0.50
4432.c879.cbf1    10.155.202.241   C1/0/0/UB        1       0.50
2ca1.7d81.5813    10.233.27.176    C1/0/0/UB        1       0.00
44aa.f5d1.b59f    10.233.20.116    C1/0/0/UB        1       -0.50
8c04.ffa7.29ed    10.155.209.137   C1/0/0/UB        1       0.50
a0c5.6276.332c    10.155.210.111   C1/0/0/UB        1       0.00
2ca1.7d90.3a53    10.233.20.154    C1/0/0/UB        1       0.50
7c26.34c9.eef6    10.233.21.117    C1/0/0/UB        1       0.00
446a.b7f8.98b4    10.233.27.168    C1/0/0/UB        1       -0.50
c427.9524.c31c    10.233.8.234     C1/0/0/UB        1       0.00
446a.b7f7.71a4    10.233.25.245    C1/0/0/UB        1       0.50
2ca1.7d7a.09bb    10.233.29.58     C1/0/0/UB        1       1.00
e882.5b1d.d53d    10.233.24.171    C1/0/0/UB        1       0.00
2ca1.7d8a.1653    10.233.14.145    C1/0/0/UB        1       -0.50
2ca1.7d86.4923    10.233.6.82      C1/0/0/UB        1       0.00
a0c5.6276.1ecc    10.233.16.30     C1/0/0/UB        1       -1.00
2476.7da2.3388    10.155.208.200   C1/0/0/UB        1       0.00
bcc8.1067.f432    10.155.207.8     C1/0/0/UB        1       0.50
6412.69bd.aa10    10.233.17.85     C1/0/0/UB        1       0.00
