NMS: 33333
CMTS: pl-crw01a-br06
Interfejsy: C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/0, C7/0/1, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7
Data: 27.04.2026, 10:18:06

MAC               IP               Interfejs        Status  dBmV
--------------------------------------------------------------------------------
8cc5.b4ea.7335    10.219.243.71    C1/0/0/UB        1       0.00
5cfa.25a0.25f8    10.219.247.178   C1/0/0/UB        1       0.00
342c.c4bb.d2fb    10.219.234.37    C1/0/0/UB        1       -0.50
f0f2.4992.c0d0    10.245.31.34     C1/0/0/UB        1       -0.50
ac22.056f.150b    10.219.228.107   C1/0/0/UB        1       -1.00
3843.7d0b.221e    10.236.155.56    C1/0/0/UB        1       -0.50
6802.b856.15e9    10.219.234.29    C1/0/0/UB        1       0.00
1834.afd7.763f    10.236.145.249   C1/0/0/UB        1       0.00
b0b3.6978.96af    10.236.138.29    C1/0/0/UB        1       0.00
b49d.fdb9.23da    10.219.229.249   C1/0/0/UB        1       0.00
342c.c4bb.1328    10.219.244.85    C1/0/0/UB        1       0.00
e882.5b1c.fcfd    10.236.156.188   C1/0/0/UB        1       -0.50
2ca1.7d81.6ea3    10.219.247.81    C1/0/0/UB        1       0.50
1834.afa5.6e6e    10.236.149.63    C1/0/0/UB        1       0.00
3843.7d50.2fb8    10.219.242.211   C1/0/0/UB        1       !-2.50
5467.5133.4454    10.236.128.85    C1/0/0/UB        1       -1.00
6802.b8cd.a50e    10.219.245.53    C1/0/0/UB        1       0.50
342c.c4bb.d25c    10.219.236.148   C1/0/0/UB        1       -1.00
342c.c4bb.88f1    10.236.159.40    C1/0/0/UB        1       !-2.50
a0c5.626f.9d7c    10.219.246.140   C1/0/0/UB        1       0.00
342c.c47b.e0e7    10.219.236.117   C1/0/0/UB        1       0.00
2ca1.7d82.a693    10.236.129.240   C1/0/0/UB        1       -0.50
b4f2.670f.54fe    10.236.141.171   C1/0/0/UB        1       0.50
3843.7d0a.a9d3    10.236.159.235   C1/0/0/U3        0       1491
905c.4441.5d80    10.236.131.174   C1/0/0/UB        1       !-2.50
e882.5b1d.0745    10.236.143.122   C1/0/0/UB        1       -0.50
ac22.05ba.92ca    10.236.139.163   C1/0/0/UB        1       !-2.00
e882.5ba4.dfed    10.236.159.54    C1/0/0/UB        1       0.00
1834.aff9.f9eb    10.236.145.214   C1/0/0/UB        1       0.00
b49d.fdc3.8b4f    10.236.139.57    C1/0/0/UB        1       0.00
0036.76b4.918c    10.236.156.20    C1/0/0/UB        1       -0.50
f820.d253.3557    10.219.242.163   C1/0/0/UB        1       0.50
a0c5.626e.f9e4    10.236.154.11    C1/0/0/UB        1       0.00
44aa.f5d0.addf    10.236.143.242   C1/0/0/UB        1       -0.50
44aa.f50e.35f8    10.236.156.130   C1/0/0/UB        1       0.50
e882.5b86.a572    10.236.156.50    C1/0/0/UB        1       0.50
ac22.05b8.5984    10.219.241.131   C1/0/0/p         1       0.00
a0c5.6271.d03c    10.236.132.92    C1/0/0/UB        1       0.00
a0c5.6269.4d64    10.236.134.142   C1/0/0/UB        1       0.50
9839.1030.3bbd    10.236.129.239   C1/0/0/UB        1       0.00
