NMS: 561242
CMTS: pl-waw18a-br02
Interfejsy: C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7
Data: 24.04.2026, 11:42:03

MAC               IP               Interfejs        Status  dBmV
--------------------------------------------------------------------------------
c4eb.394f.2de9    10.161.35.194    C2/0/0/UB        1       0.00
e882.5ba4.f945    10.161.62.179    C2/0/0/UB        1       0.50
5467.51cf.1dce    10.204.56.130    C2/0/0/UB        1       1.00
0036.76b4.31bc    10.161.55.208    C2/0/0/UB        1       0.00
1834.afd7.a64a    10.161.41.174    C2/0/0/UB        1       -0.50
342c.c441.8457    10.204.58.91     C2/0/0/UB        1       -1.00
342c.c444.8dde    10.161.47.142    C2/0/0/UB        1       0.00
905c.4463.e352    10.204.63.244    C2/0/0/UB        1       0.50
342c.c4bc.7285    10.247.137.105   C2/0/0/UB        1       1.00
cc35.40e6.5262    10.161.40.42     C2/0/0/UB        1       0.00
2ca1.7d9b.05bb    10.161.48.16     C2/0/0/UB        1       0.00
b4f2.6706.9c37    10.204.43.13     C2/0/0/UB        1       0.00
e882.5b20.5fbd    10.161.45.32     C2/0/0/UB        1       0.00
3843.7dfd.3f7d    10.204.45.250    C2/0/0/UB        1       0.00
4432.c8b6.d77b    10.161.39.33     C2/0/0/UB        1       0.00
9839.1030.1314    10.161.38.32     C2/0/0/UB        1       0.00
ac22.053d.cfa2    10.204.42.177    C2/0/0/UB        1       -0.50
342c.c464.1149    10.204.61.44     C2/0/0/UB        1       0.00
a0c5.6266.d9fc    10.161.34.220    C2/0/0/UB        1       0.00
905c.4494.0d3d    10.204.35.123    C2/0/0/UB        1       0.00
905c.44e2.0eaf    10.204.42.134    C2/0/0/UB        1       !-0.50
3843.7dcd.ab9b    10.204.36.88     C2/0/0/UB        1       0.50
b49d.fdec.3b6a    10.161.49.51     C2/0/0/UB        1       -0.50
342c.c4a2.f7c0    10.204.60.108    C2/0/0/UB        1       0.00
c4eb.42da.d740    10.161.47.16     C2/0/0/UB        1       0.00
342c.c4bb.c641    10.204.34.239    C2/0/0/UB        1       0.00
342c.c4bb.d46c    10.204.61.98     C2/0/0/UB        1       0.50
342c.c4cf.fc62    10.204.45.254    C2/0/0/UB        1       -0.50
7c26.34cd.ea7e    10.161.49.39     C2/0/0/UB        1       -0.50
dc53.7caa.d9d2    10.204.36.91     C2/0/0/UB        1       -1.00
2ca1.7d97.36eb    10.247.139.161   C2/0/0/UB        1       -0.50
342c.c4b0.af42    10.204.47.203    C2/0/0/UB        1       -1.00
b49d.fdc1.07c3    10.161.53.228    C2/0/0/UB        1       0.00
2ca1.7d78.33f3    10.161.47.60     C2/0/0/UB        1       0.50
1834.aff9.54d8    10.161.32.130    C2/0/0/UB        1       0.00
24e4.ce54.9e26    10.161.49.45     C2/0/0/UB        1       0.00
342c.c460.d2d9    10.161.44.24     C2/0/0/UB        1       !-2.00
b4f2.671b.1d8e    10.204.32.154    C2/0/0/UB        1       -0.50
ac22.053c.ed07    10.247.139.240   C2/0/0/UB        1       -0.50
e882.5b85.434a    10.247.136.239   C2/0/0/UB        1       0.00
3843.7dad.00c3    10.161.58.169    C2/0/0/UB        1       0.00
2ca1.7d84.efdb    10.161.34.66     C2/0/0/UB        1       0.50
e882.5ba2.0c75    10.161.41.24     C2/0/0/UB        1       0.50
5467.51f9.8ce4    10.204.37.55     C2/0/0/UB        1       -0.50
2ca1.7d90.1cbb    10.161.51.166    C2/0/0/UB        1       0.00
342c.c427.834c    10.247.138.36    C2/0/0/UB        1       -0.50
5467.518b.9198    10.247.133.181   C2/0/0/UB        1       0.00
342c.c442.60c2    10.161.35.149    C2/0/0/UB        1       0.00
3843.7da1.ce94    10.161.57.50     C2/0/0/UB        1       0.00
2ca1.7d9a.decb    10.161.34.113    C2/0/0/UB        1       0.50
a0c5.6266.f7d4    10.161.34.180    C2/0/0/UB        1       -0.50
ac22.0571.96e7    10.204.58.151    C2/0/0/UB        1       0.00
905c.44be.ba73    10.204.32.141    C2/0/0/UB        1       -0.50
905c.4465.5e24    10.204.57.143    C2/0/0/UB        1       0.00
a0c5.626b.ca9c    10.204.46.215    C2/0/0/UB        1       0.00
e882.5b1d.8dd5    10.161.45.246    C2/0/0/UB        1       -0.50
80f5.03fe.d890    10.161.36.193    C2/0/0/UB        1       -0.50
2ca1.7d97.c5eb    10.161.44.214    C2/0/0/UB        1       -0.50
1834.afd6.1ee4    10.161.47.113    C2/0/0/UB        1       0.00
5467.5132.ab09    10.204.46.224    C2/0/0/UB        1       -0.50
2c1d.b8a5.dad6    10.204.55.132    C2/0/0/UB        1       -1.00
1834.afa5.0bbf    10.161.60.95     C2/0/0/UB        1       0.50
ac22.0504.a53d    10.204.47.156    C2/0/0/UB        1       -1.00
88f7.c758.d5a4    10.161.61.158    C2/0/0/UB        1       0.00
44aa.f5d0.21cf    10.161.46.179    C2/0/0/UB        1       0.00
5467.51f8.8ea7    10.204.33.244    C2/0/0/UB        1       0.00
1cab.c0be.b330    10.161.54.59     C2/0/0/UB        1       0.00
342c.c4bc.fa39    10.204.55.78     C2/0/0/UB        1       -0.50
5467.51f1.bc11    10.204.57.43     C2/0/0/UB        1       0.00
ac22.05b9.2062    10.204.47.1      C2/0/0/UB        1       0.00
8c04.ff34.32aa    10.161.44.84     C2/0/0/UB        1       0.00
9839.102f.d938    10.204.55.76     C2/0/0/UB        1       0.00
5467.51f7.dd98    10.161.60.19     C2/0/0/UB        1       !0.50
b49d.fdc4.af93    10.161.62.192    C2/0/0/UB        1       0.00
ac22.05f3.a799    10.204.49.109    C2/0/0/UB        1       -0.50
3843.7dd1.bd1c    10.204.46.140    C2/0/0/UB        1       0.00
2ca1.7d7e.5e6b    10.204.50.35     C2/0/0/UB        1       -1.00
5c7b.5c39.340e    10.204.52.10     C2/0/0/UB        1       0.00
342c.c4e3.6c84    10.204.59.202    C2/0/0/UB        1       0.50
ac22.05ee.ca1c    10.204.42.164    C2/0/0/UB        1       0.00
